Time,Replicates,Treatment,Response,Concentration,Biomass,Initial,Yield,GrowthRate,A,logA,sectionalGR,Trend_Growth,Trend_Yield
0,1,Control,0.00461295,0,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,1,2.98E-2,0.00461295,0.0298,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,1,0.0954,0.00461295,0.0954,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,1,0.305,0.00461295,0.305,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,1,0.977,0.00461295,0.977,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,1,3.13,0.00461295,3.13,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,1,10,0.00461295,10,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,2,Control,0.00461295,0,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,2,2.98E-2,0.00461295,0.0298,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,2,0.0954,0.00461295,0.0954,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,2,0.305,0.00461295,0.305,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,2,0.977,0.00461295,0.977,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,2,3.13,0.00461295,3.13,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,2,10,0.00461295,10,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,3,Control,0.00461295,0,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,3,2.98E-2,0.00461295,0.0298,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,3,0.0954,0.00461295,0.0954,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,3,0.305,0.00461295,0.305,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,3,0.977,0.00461295,0.977,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,3,3.13,0.00461295,3.13,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,3,10,0.00461295,10,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,4,Control,0.00461295,0,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,4,2.98E-2,0.00461295,0.0298,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,4,0.0954,0.00461295,0.0954,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,4,0.305,0.00461295,0.305,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,4,0.977,0.00461295,0.977,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,4,3.13,0.00461295,3.13,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
0,4,10,0.00461295,10,1.000002242486023,1.000002242486023,0,NA,0,0,NA,decrease,decrease
24,1,Control,0.014,0,3.2823274373768987,1.000002242486023,2.2823251948908756,1.1885505128425742,1.141162597445438,0.594275256421287,1.1885505128425742,decrease,decrease
24,1,2.98E-2,0.012,0.0298,2.78297813773287,1.000002242486023,1.7829758952468469,1.02351938438184,0.8914879476234234,0.5117596921909199,1.02351938438184,decrease,decrease
24,1,0.0954,0.014,0.0954,3.2823274373768987,1.000002242486023,2.2823251948908756,1.1885505128425742,1.141162597445438,0.594275256421287,1.1885505128425742,decrease,decrease
24,1,0.305,0.009,0.305,2.0452786358618917,1.000002242486023,1.0452763933758686,0.7155317899849646,0.5226381966879343,0.35776589499248235,0.7155317899849646,decrease,decrease
24,1,0.977,0.006,0.977,1.325049607779419,1.000002242486023,0.32504736529339584,0.28144765608734745,0.16252368264669803,0.14072382804367373,0.28144765608734745,decrease,decrease
24,1,3.13,0.006,3.13,1.325049607779419,1.000002242486023,0.32504736529339584,0.28144765608734745,0.16252368264669803,0.14072382804367373,0.28144765608734745,decrease,decrease
24,1,10,0.009,10,2.0452786358618917,1.000002242486023,1.0452763933758686,0.7155317899849646,0.5226381966879343,0.35776589499248235,0.7155317899849646,decrease,decrease
24,2,Control,0.014,0,3.2823274373768987,1.000002242486023,2.2823251948908756,1.1885505128425742,1.141162597445438,0.594275256421287,1.1885505128425742,decrease,decrease
24,2,2.98E-2,0.012,0.0298,2.78297813773287,1.000002242486023,1.7829758952468469,1.02351938438184,0.8914879476234234,0.5117596921909199,1.02351938438184,decrease,decrease
24,2,0.0954,0.012,0.0954,2.78297813773287,1.000002242486023,1.7829758952468469,1.02351938438184,0.8914879476234234,0.5117596921909199,1.02351938438184,decrease,decrease
