"Treatment"	"LitterID"	"LitterSize"	"Dose"	"multiple folded retina"	"absent aqueous/ vitreous humor"
"control"	"1F1"	9	0	0	0
"control"	"1F3"	10	0	0	0
"control"	"1F4"	4	0	0	0
"control"	"1F5"	10	0	0	0
"control"	"1F7"	10	0	0	0
"control"	"1F8"	7	0	0	0
"control"	"1F9"	10	0	0	0
"control"	"1F10"	10	0	0	0
"control"	"1F11"	10	0	0	0
"control"	"1F12"	7	0	0	0
"control"	"1F13"	4	0	0	0
"control"	"1F14"	3	0	0	0
"control"	"1F15"	6	0	0	0
"control"	"1F16"	11	0	0	0
"control"	"1F17"	10	0	0	0
"control"	"1F18"	9	0	0	0
"control"	"1F22"	9	0	0	0
"control"	"1F23"	10	0	0	0
"control"	"1F24"	8	0	0	0
"180 mg/kg bw/d"	"2F25"	5	180	0	0
"180 mg/kg bw/d"	"2F26"	6	180	1	1
"180 mg/kg bw/d"	"2F28"	7	180	0	0
"180 mg/kg bw/d"	"2F29"	11	180	0	0
"180 mg/kg bw/d"	"2F30"	11	180	0	0
"180 mg/kg bw/d"	"2F31"	10	180	0	0
"180 mg/kg bw/d"	"2F32"	7	180	0	0
"180 mg/kg bw/d"	"2F33"	7	180	0	0
"180 mg/kg bw/d"	"2F34"	9	180	0	0
"180 mg/kg bw/d"	"2F35"	4	180	0	0
"180 mg/kg bw/d"	"2F36"	6	180	0	0
"180 mg/kg bw/d"	"2F37"	7	180	0	0
"180 mg/kg bw/d"	"2F38"	6	180	0	0
"180 mg/kg bw/d"	"2F39"	9	180	0	0
"180 mg/kg bw/d"	"2F40"	7	180	0	0
"180 mg/kg bw/d"	"2F41"	8	180	0	0
"180 mg/kg bw/d"	"2F43"	7	180	0	0
"180 mg/kg bw/d"	"2F45"	8	180	0	0
"180 mg/kg bw/d"	"2F46"	8	180	0	0
"180 mg/kg bw/d"	"2F47"	8	180	0	0
"180 mg/kg bw/d"	"2F48"	7	180	0	0
"375 mg/kg bw/d"	"3F49"	8	375	1	1
"375 mg/kg bw/d"	"3F50"	9	375	0	0
"375 mg/kg bw/d"	"3F51"	7	375	0	0
"375 mg/kg bw/d"	"3F52"	8	375	0	0
"375 mg/kg bw/d"	"3F53"	11	375	0	0
"375 mg/kg bw/d"	"3F54"	5	375	0	0
"375 mg/kg bw/d"	"3F55"	7	375	0	0
"375 mg/kg bw/d"	"3F56"	8	375	0	0
"375 mg/kg bw/d"	"3F57"	8	375	1	0
"375 mg/kg bw/d"	"3F58"	5	375	0	0
"375 mg/kg bw/d"	"3F59"	9	375	0	0
"375 mg/kg bw/d"	"3F60"	1	375	0	0
"375 mg/kg bw/d"	"3F61"	9	375	0	0
"375 mg/kg bw/d"	"3F62"	10	375	0	0
"375 mg/kg bw/d"	"3F63"	3	375	1	1
"375 mg/kg bw/d"	"3F64"	11	375	2	3
"375 mg/kg bw/d"	"3F65"	8	375	0	0
"375 mg/kg bw/d"	"3F66"	6	375	0	0
"375 mg/kg bw/d"	"3F67"	8	375	0	0
"375 mg/kg bw/d"	"3F68"	5	375	0	0
"375 mg/kg bw/d"	"3F69"	8	375	0	0
"375 mg/kg bw/d"	"3F70"	11	375	0	1
"375 mg/kg bw/d"	"3F71"	1	375	0	0
"375 mg/kg bw/d"	"3F72"	7	375	0	0
"750 mg/kg bw/d"	"4F73"	4	750	2	2
"750 mg/kg bw/d"	"4F74"	4	750	0	0
"750 mg/kg bw/d"	"4F75"	6	750	0	0
"750 mg/kg bw/d"	"4F76"	6	750	1	1
"750 mg/kg bw/d"	"4F77"	6	750	0	0
"750 mg/kg bw/d"	"4F79"	4	750	0	0
"750 mg/kg bw/d"	"4F80"	7	750	0	0
"750 mg/kg bw/d"	"4F81"	2	750	0	0
"750 mg/kg bw/d"	"4F82"	3	750	1	1
"750 mg/kg bw/d"	"4F83"	7	750	0	0
"750 mg/kg bw/d"	"4F84"	9	750	0	0
"750 mg/kg bw/d"	"4F85"	11	750	0	0
"750 mg/kg bw/d"	"4F86"	8	750	0	0
"750 mg/kg bw/d"	"4F87"	6	750	1	1
"750 mg/kg bw/d"	"4F88"	7	750	1	0
"750 mg/kg bw/d"	"4F89"	8	750	0	0
"750 mg/kg bw/d"	"4F90"	4	750	0	0
"750 mg/kg bw/d"	"4F91"	10	750	1	2
"750 mg/kg bw/d"	"4F92"	10	750	1	0
"750 mg/kg bw/d"	"4F93"	4	750	0	0
"750 mg/kg bw/d"	"4F94"	6	750	0	0
"750 mg/kg bw/d"	"4F95"	7	750	1	1
"750 mg/kg bw/d"	"4F96"	1	750	0	0
