"","LeafLength","ID","Stress","Genotype","Day"
"1",1.4,"38","control","17",1
"2",1.2,"62","control","17",1
"3",2.5,"35","control","17",1
"4",1.8,"91","control","17",1
"5",1.7,"76","control","17",1
"6",1.4,"108","control","17",1
"7",5.1,"149","control","31",1
"8",5.5,"237","control","31",1
"9",3.1,"223","control","31",1
"10",1.8,"239","control","31",1
"11",1.7,"28","control","31",1
"12",2,"240","control","31",1
"13",2.4,"41","control","48",1
"14",2,"65","control","48",1
"15",2.3,"157","control","48",1
"16",2,"122","control","48",1
"17",2.3,"7","control","48",1
"18",1.3,"52","control","48",1
"19",3.3,"57","control","5",1
"20",2.9,"213","control","5",1
"21",2.3,"202","control","5",1
"22",1.9,"31","control","5",1
"23",2.3,"187","control","5",1
"24",1.5,"104","control","5",1
"25",1.7,"34","drought","17",1
"26",2.1,"98","drought","17",1
"27",4.8,"139","drought","17",1
"28",1.6,"171","drought","17",1
"29",1.4,"48","drought","17",1
"30",1.3,"132","drought","17",1
"31",4.1,"217","drought","31",1
"32",1.6,"230","drought","31",1
"33",1.7,"39","drought","31",1
"34",3.2,"179","drought","31",1
"35",3.4,"211","drought","31",1
"36",1,"184","drought","31",1
"37",2.4,"153","drought","48",1
"38",1.4,"162","drought","48",1
"39",8,"174","drought","48",1
"40",2.4,"47","drought","48",1
"41",1.9,"191","drought","48",1
"42",2.5,"199","drought","48",1
"43",3.7,"5","drought","5",1
"44",2.5,"165","drought","5",1
"45",1.5,"58","drought","5",1
"46",2.4,"214","drought","5",1
"47",1.8,"103","drought","5",1
"48",1.5,"12","drought","5",1
"49",1,"152","control","8",1
"50",2.6,"180","control","8",1
"51",2.4,"29","control","9",1
"52",3.2,"109","control","9",1
"53",2.4,"189","control","10",1
"54",3,"227","control","10",1
"55",2.5,"205","control","11",1
"56",2.9,"159","control","11",1
"57",2,"156","control","12",1
"58",2.4,"168","control","12",1
"59",1.5,"6","control","13",1
"60",2.9,"231","control","13",1
"61",2,"16","control","14",1
"62",2.4,"88","control","14",1
"63",1.9,"14","control","15",1
"64",1.3,"64","control","15",1
"65",2.2,"67","control","16",1
"66",2.8,"195","control","16",1
"67",4.3,"53","control","1",1
"68",1.3,"204","control","1",1
"69",1.6,"222","control","17",1
"70",1.9,"175","control","17",1
"71",2.5,"193","control","18",1
"72",1.5,"154","control","18",1
"73",2.8,"85","control","19",1
"74",1.4,"210","control","19",1
"75",1.7,"15","control","20",1
"76",1.5,"36","control","20",1
"77",1.5,"2","control","21",1
"78",2.3,"207","control","21",1
"79",4.3,"46","control","22",1
"80",1.3,"40","control","22",1
"81",2.2,"19","control","23",1
"82",3.6,"55","control","23",1
"83",3.8,"25","control","24",1
"84",2.6,"93","control","24",1
"85",2.1,"101","control","2",1
"86",2.5,"236","control","2",1
"87",2.2,"106","control","25",1
"88",1.4,"116","control","25",1
"89",3.4,"167","control","26",1
"90",1.3,"144","control","26",1
"91",4.1,"1","control","27",1
"92",1.8,"24","control","27",1
"93",5.2,"135","control","28",1
"94",1.3,"4","control","28",1
"95",3.3,"185","control","29",1
"96",1.9,"126","control","29",1
"97",4.1,"105","control","30",1
"98",1.3,"142","control","30",1
"99",1.7,"66","control","31",1
"100",1.2,"200","control","31",1
"101",3.1,"69","control","32",1
"102",1.5,"234","control","32",1
"103",1.4,"198","control","33",1
"104",2,"84","control","33",1
"105",3.4,"221","control","34",1
"106",1.8,"56","control","34",1
"107",2.5,"172","control","3",1
"108",1.2,"220","control","3",1
"109",3.3,"45","control","35",1
"110",2.2,"8","control","35",1
"111",2.5,"95","control","36",1
"112",1.2,"164","control","36",1
